Group,Color,GuideName
7_DMSO,#9ecae1,DMSO
8_A1221/A1221,#756bb1,A1221/A1221
9_A1221/VIN,#bcbddc,A1221/Vin
X10_VIN/VIN,#de2d26,Vin/Vin
X11_VIN/A1221,#fc9272,Vin/A1221
X12_Flutamide,#e6550d,Flutamide
